Dependents,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Gender_nan,Married_Yes,Married_nan,Self_Employed_Yes,Self_Employed_nan,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y,TotalIncome
0,0.612156437,0.973974417,0.75,1,1,0,1,0,0,1,0,0,1,1,0.872832035
0,1.275018067,0.907414243,0.75,0,1,0,1,0,0,0,1,0,1,0,1.050315894
0.333333333,1.096731057,1.749065029,0.75,1,1,0,1,0,0,0,0,0,1,1,1.392946736
0,0.612156437,0.979811293,0.75,0,1,0,1,0,0,0,1,1,0,0,0.652410934
0.666666667,0.745082514,0.956256546,0.75,0,0,1,1,0,0,0,1,0,0,0,0.765430419
0.333333333,0.800775047,1.165207801,0.75,1,1,0,1,0,0,1,0,1,0,0,0.938128178
0,1.442204019,1.34201436,0.75,1,1,0,1,0,1,0,0,1,0,1,1.231027405
0,0.648470652,1.014134697,0.75,1,1,0,1,0,0,0,0,1,0,1,0.733031359
0.666666667,0.8761897,0.944267792,0.75,1,1,0,1,0,0,0,1,0,1,1,0.763210228
0,0.369830531,0.342269354,0.75,1,1,0,0,0,0,0,1,0,1,0,0.005599284
0.666666667,0.805840642,1.002823958,0.75,1,0,0,0,0,0,1,0,1,0,1,0.839027465
0.333333333,0.867590024,1.381729695,0.75,1,1,0,1,0,0,1,0,0,1,0,1.037199359
0,0.71233635,0.699522166,0.75,1,1,0,0,0,0,0,0,0,1,0,0.418485342
0.333333333,0.940576131,0.919850281,0.75,1,1,0,0,0,1,0,0,0,0,0,0.680113568
0,0.766810079,0.968103271,0.75,1,1,0,1,0,0,0,0,1,0,1,0.749362096
1,1.655886413,1.762458386,0.75,1,1,0,0,0,0,0,0,0,0,0,1.647666294
0,0.549858461,1.058140147,0.75,1,1,0,1,0,0,0,0,0,1,1,0.62583325
0,0.457294677,0.882068359,0.75,0,1,0,1,0,0,0,0,0,1,0,0.416718936
0,0.793050674,1.13077676,0.75,1,0,0,1,0,0,0,0,1,0,1,0.743570377
0,0.867590024,1.313244267,0.75,1,1,0,0,0,0,0,0,0,1,1,1.377734587
0,0.805534365,0.944267792,0.75,1,1,0,0,0,0,0,1,1,0,1,0.783833506
0,0.782605575,0.744702069,0.75,1,1,0,0,0,0,0,0,0,1,0,0.49998122
0,0.451201144,0.46636329,0.75,1,1,0,0,0,0,0,0,0,1,1,0.387821484
0,0.574280653,0.707195328,0.75,1,1,0,1,0,0,0,0,0,1,1,0.2554908
0,0.834666082,1.079437371,0.75,1,1,0,1,0,0,0,0,1,0,1,0.894627995
0,0.940977492,0.856063318,0.75,1,1,0,1,0,1,0,1,0,1,1,0.680566324
0,0.752377616,0.801932059,0.75,1,0,0,0,0,0,0,0,0,1,1,0.46503573
0.333333333,1.061075618,0.436753429,0.75,1,1,0,1,0,0,0,0,0,1,1,0.815047978
0,1.081273462,1.13077676,0.75,1,1,0,1,0,0,0,0,0,1,1,0.837480992
0,0.620484344,1.002823958,0.75,0,0,0,1,0,0,0,0,0,1,0,0.870962897
0,0.843404872,1.13077676,0.75,1,0,0,0,0,0,0,0,1,0,1,0.894384348
0,0.478759104,0.882068359,0.75,1,0,0,1,0,0,0,1,1,0,1,0.494907451
0,0.698624867,1.002823958,0.75,1,0,0,0,0,0,0,0,1,0,1,0.402474224
0,0.876760391,0.956256546,0.75,1,0,0,0,0,0,0,0,1,0,0,0.607822257
0.666666667,0.930354187,1.079437371,0.75,1,1,0,1,0,0,0,0,0,1,0,0.668574849
0.333333333,1.588206398,1.667633686,0.75,0,0,0,1,0,1,0,0,0,1,0,1.387008737
0.666666667,0.632028113,0.862628252,0.75,1,1,0,1,0,0,0,0,1,0,1,0.548490821
0,0.521167845,0.856063318,0.75,1,1,0,1,0,0,0,0,1,0,1,0.521969586
0,0.745245207,1.084691554,0.75,1,1,0,1,0,0,0,0,0,0,0,0.804040044
0.333333333,1.31445591,1.296424781,0.75,1,1,0,1,0,0,0,0,0,1,1,1.295878076
0.666666667,0.743780017,1.13077676,0.75,1,1,0,1,0,0,0,1,0,1,1,0.887169921
0,0.593397856,1.002823958,0.75,1,1,0,1,0,0,0,0,0,1,1,0.896939687
1,0.688862092,0.875630223,0.75,1,1,0,1,0,0,0,0,0,1,1,0.391051465
0,0.613827576,1.230705309,0.375,0,1,0,1,0,1,0,1,0,0,0,0.86758962
0.333333333,0.973870651,1.058140147,0.75,0,1,0,1,0,0,0,0,0,0,0,0.717593371
0,0.867590024,0.979811293,0.75,0,0,0,0,0,0,0,0,1,0,0,0.597382714
0,1.070168146,1.582170282,0.75,1,1,0,1,0,0,0,0,1,0,0,1.295143867
0,0.717869053,1.036379462,0.375,0,1,0,0,0,0,0,1,0,1,0,0.78899124
0.333333333,1.534259959,1.740942058,0.75,1,1,0,1,0,0,0,0,0,1,1,1.329555092
1,1.219891696,1.030864489,0.125,1,1,0,1,0,1,0,1,0,1,1,0.990164132
0,0.886695117,1.089918274,0.75,0,0,0,0,0,0,0,0,1,0,0,0.619117085
0,0.719205717,1.261912567,0.75,1,1,0,1,0,0,0,0,0,1,1,0.894262502
0.666666667,0.467440364,0.862628252,0.75,1,1,0,1,0,1,0,1,1,0,1,0.526732262
0,0.766810079,0.752037513,0.625,1,1,0,0,0,0,0,0,1,0,1,0.481741168
1,0.948971087,0.849455001,0.75,0,1,0,1,0,0,0,1,1,0,0,0.689578652
1,1.014578479,1.325675795,0.75,1,1,0,1,0,1,0,0,1,0,1,0.983499361
0,0.805840642,0.962197452,1,1,1,0,0,0,0,0,0,0,1,0,0.526732262
0,0.805840642,1.279317553,0.75,1,1,0,0,0,0,0,0,0,1,0,1.134259508
0.333333333,0.259274664,0.944267792,0.75,1,1,0,1,0,1,0,0,0,1,0,0.573487478
1,0.71233635,1.296424781,0.625,0,1,0,1,0,0,0,0,1,0,0,0.99755434
1,0.739862316,1.058140147,0.75,1,1,0,1,0,1,0,1,1,0,1,0.795064877
0,0.820432673,0.950280135,0.75,1,0,0,0,0,0,0,0,1,0,1,0.543484849
0.333333333,0.573315132,1.196151601,0.75,1,1,0,1,0,1,0,0,1,0,1,0.25433609
0.666666667,0.354559598,1.239721486,0.75,1,0,0,1,0,0,0,0,0,1,0,0.436365198
0,1.101868905,1.604230579,0.75,1,1,0,1,0,0,0,0,1,0,0,1.110004352
0.333333333,0.841633667,0.495121563,0.5,1,1,0,1,0,0,0,0,0,1,1,0.567761236
0,0.56769665,1.089918274,0.75,1,1,0,0,0,0,0,0,1,0,1,0.710589716
0.666666667,0.739862316,0.875630223,0.75,1,1,0,1,0,0,0,1,1,0,1,0.772474557
0,0.593397856,0.907414243,0.75,1,1,0,1,0,0,0,0,1,0,1,0.668880211
0,1.358230713,1.416172974,0.75,1,1,0,0,0,0,0,0,0,1,1,1.140565908
0,1.066517454,1.274994624,0.75,1,1,0,1,0,0,0,0,1,0,1,1.256965871
0,0.676566606,1.063507126,0.75,1,1,0,1,0,0,0,0,1,0,1,0.842241624
0.666666667,1.129941555,1.329785531,0.375,1,1,0,1,0,0,0,0,1,0,1,1.416641421
0.666666667,0.730000384,0.752037513,0.75,1,1,0,1,0,0,0,1,0,1,1,0.738884261
0,0.862828488,1.014134697,0.75,1,1,0,0,0,0,0,0,1,0,1,0.591956937
0,0.785734954,0.2256211,0.25,1,1,0,0,0,0,0,1,1,0,1,0.503589643
0,1.187179629,1.058140147,0.75,1,1,0,0,0,0,1,0,0,1,0,0.954323627
0,0.590363557,1.095117818,0.75,1,0,0,1,0,0,0,0,1,0,1,0.694203391
0,0.489110835,0.495121563,0.75,1,1,0,1,0,0,0,0,1,0,1,0.379904417
0,0.870751832,0.973974417,0.375,1,1,0,1,0,0,0,1,1,0,1,0.600983613
0,0.44221094,1.063507126,0.75,1,1,0,1,0,0,0,0,1,0,1,0.767922255
0.666666667,0.884999015,1.074155436,0.375,1,1,0,1,0,0,0,1,0,1,1,1.038887908
0,0.960580639,1.165207801,0.75,1,1,0,0,0,0,0,0,1,0,1,1.148440643
0,1.728445752,1.058140147,0.75,1,1,0,1,0,0,0,0,0,1,1,1.535479133
0,0.935209187,1.058140147,0.75,1,1,0,1,0,0,0,0,1,0,1,1.108530164
0,0.815895494,1.20780267,0.75,1,1,0,0,1,0,0,0,0,1,1,0.661525651
0.333333333,0.692812934,0.882068359,0.75,1,1,0,1,0,0,0,0,0,1,1,0.583513307
0.666666667,1.582377546,1.471066476,0.75,1,1,0,1,0,0,0,0,0,1,1,1.461788663
0,1.243198461,1.002823958,0.75,1,1,0,0,0,0,1,1,0,0,0,1.015632516
0.666666667,0.813467222,1.438493253,0.75,0,1,0,1,0,0,0,0,0,1,0,1.022837551
1,0.508674211,0.842802723,1,1,1,0,1,0,0,0,1,1,0,1,0.349066471
0,1.020772713,1.089918274,0.75,1,1,0,0,0,0,0,0,0,1,1,0.77013202
0,0.671500695,1.105436496,0.75,1,0,0,1,0,0,1,0,1,0,1,0.76265441
0,0.778207927,1.170031156,0.75,0,1,0,1,0,0,0,1,0,0,0,1.053022652
0.333333333,1.254797866,1.196151601,0.75,1,0,0,0,0,1,0,0,1,0,1,1.028287393
0,0.987369515,0.991383822,0.75,1,1,0,0,0,0,1,0,1,0,1,0.732744974
0.333333333,1.783674892,1.317405305,0.375,1,1,0,1,0,0,0,0,0,0,1,1.593629642
0,0.71233635,1.179608626,0.75,1,0,0,1,0,0,0,0,1,0,1,0.788449572
0.333333333,0.537720337,0.780852761,0.75,1,1,0,1,0,0,0,0,0,1,1,0.502147836
0,1.051420675,1.274994624,0.75,1,1,0,1,0,0,0,0,0,0,0,1.055514712
0,1.508659855,1.585351705,0.75,1,0,0,0,0,0,0,0,0,1,1,1.30221874
0,1.06320856,1.296424781,0.75,1,1,0,1,0,0,0,0,0,0,1,1.118219885
0,0.867590024,0.436753429,0.75,1,0,0,0,0,0,0,0,1,0,1,0.597382714
0,0.522185025,1.095117818,0.75,0,0,0,0,0,0,0,0,1,0,1,1.358081615
0.666666667,0.676392346,0.752037513,0.75,1,1,0,1,0,0,0,0,1,0,1,0.376433674
0,0.886695117,1.354095449,0.75,1,1,0,1,0,0,0,1,0,0,1,0.899124792
0,0.796920319,0.836105895,0.75,1,0,0,0,0,0,0,0,0,0,1,0.516473209
1,2.209584327,1.88736324,0.75,1,0,1,1,0,0,0,0,0,0,1,2.037199664
0,0.823295608,1.058140147,0.75,1,1,0,0,0,0,0,0,0,0,1,0.795871915
0.333333333,1.516589482,1.20780267,0.375,0,1,0,1,0,1,0,0,0,1,0,1.58021938
0,1.110938183,1.304869885,0.75,1,1,0,1,0,0,0,0,0,0,0,1.148440643
0,2.062462303,2.392702108,1,1,1,0,0,0,1,0,0,0,1,1,1.884838626
0,0.496857051,0.699522166,0.75,1,1,0,0,0,0,0,0,0,1,1,0.560131614
0,0.633848265,0.668226829,0.75,1,1,0,0,0,0,0,0,1,0,1,0.326319338
0,0.76026111,0.2256211,0.25,1,1,0,1,0,1,0,0,1,0,1,0.474165503
0,0.967378007,0.8948216,0.75,1,1,0,0,0,0,0,0,1,0,1,0.71029683
1,0.843404872,1.679267643,0.75,1,1,0,1,0,0,0,0,1,0,0,1.405449112
0,0.925882968,0.773726417,0.75,1,0,0,1,0,0,0,0,0,0,0,0.663522858
0.666666667,0.737077962,0.801932059,0.75,1,1,0,1,0,1,0,0,0,1,1,0.958217538
0,1.807349957,1.529840842,0.75,0,1,0,0,0,0,0,0,1,0,0,1.618505963
0.666666667,0.87247225,1.052744208,0.75,1,1,0,1,0,0,0,1,0,0,0,0.812538762
0.666666667,0.986347419,1.317405305,0.75,1,1,0,1,0,0,0,0,0,0,0,0.992928064
0,1.033169236,1.244199273,0.75,1,1,0,0,0,0,0,0,0,1,1,0.783969577
0,1.204594719,1.274994624,0.375,1,1,0,0,0,1,0,0,1,0,1,0.97341817
0,0.630204643,1.014134697,0.75,1,1,0,1,0,0,0,0,1,0,1,0.686133519
0.666666667,1.606042265,1.325675795,0.375,1,1,0,1,0,0,0,0,0,1,1,1.40596058
0,0.560677777,0.882068359,0.75,1,0,0,1,0,0,0,0,1,0,1,0.958217538
0.666666667,1.799841545,0.668226829,0.75,1,0,0,1,0,0,0,0,0,1,1,1.610619811
0.333333333,0.392308385,0.285645116,0.75,1,1,0,1,0,0,0,0,0,1,1,0.377660018
0,1.47723652,1.471066476,0.75,1,0,0,0,0,0,0,0,0,0,0,1.399291002
0,0.962807943,1.030864489,0.75,1,1,0,1,0,0,0,0,1,0,1,0.820441243
0,1.13292678,0.991383822,0.75,0,1,0,0,0,0,0,0,0,0,0,0.894627995
0,0.607873018,1.170031156,0.75,1,1,0,1,0,1,0,0,0,0,1,0.90069996
0,1.409757301,1.536533747,0.75,1,1,0,0,0,0,0,0,0,1,0,1.196143006
0.666666667,0.551044454,0.962197452,0.75,1,1,0,1,0,0,0,1,0,0,0,0.227640317
0,0.726857054,0.495121563,0.75,1,1,0,0,0,0,0,0,0,1,1,0.435401638
1,2.685344787,2.319228761,0.375,0,1,0,1,0,0,0,0,1,0,1,2.525364248
0.333333333,1.101868905,1.20780267,0.75,1,1,0,1,0,0,0,0,0,0,1,0.860304613
0.333333333,1.44041976,1.325675795,0.75,1,1,0,1,0,0,0,0,0,1,1,1.229111294
0,0.680392665,1.002823958,0.75,1,1,0,0,0,0,1,0,0,0,1,0.734605016
0,0.925882968,1.572564829,0.75,1,1,0,1,0,0,0,0,1,0,1,1.285879298
0,0.464859745,0.869150369,0.75,1,1,0,1,0,0,0,1,1,0,1,0.365535151
0,1.300828879,1.634924311,0.75,1,1,0,1,0,0,0,0,0,1,0,1.078377906
0.333333333,0.699136067,1.008495319,0.75,0,1,0,1,0,0,0,0,1,0,0,0.630127087
0.666666667,0.867733959,1.1984927,0.75,1,1,0,1,0,0,0,0,0,0,1,0.810420844
0,1.422813022,0.707195328,0.375,1,1,0,1,0,0,0,0,0,1,1,1.210189824
0,0.799234938,1.304869885,0.75,1,1,0,1,0,0,0,0,0,0,1,0.964711739
0,0.925882968,0.956256546,0.75,1,0,0,1,0,0,0,0,0,0,0,0.663522858
0,0.581779895,1.052744208,0.75,1,1,0,1,0,0,0,0,0,0,1,0.831141287
0,0.542314327,0.610986599,1,0,1,0,0,0,0,0,0,1,0,0,0.217143017
0.666666667,1.307062878,1.377828393,0.75,1,1,0,1,0,0,0,0,1,0,1,1.085146229
0,0.455557453,0.849455001,0.75,1,1,0,1,0,0,1,1,0,0,1,0.497991023
1,2.928281547,2.461144644,0.625,1,0,1,1,0,0,0,0,0,1,1,2.772655629
1,0.770306558,0.752037513,0.375,1,1,0,1,0,0,0,1,0,0,0,0.485782622
0,1.068050013,1.325675795,0.75,1,1,0,1,0,0,0,0,1,0,1,1.374498361
0,0.892889658,0.794954881,0.75,1,1,0,1,0,1,0,1,1,0,0,0.737032169
0,0.766332338,0.979811293,0.75,1,1,0,1,0,0,0,0,0,0,1,0.789938454
0.666666667,0.503301243,0.88846531,0.75,1,1,0,1,0,0,0,0,0,0,1,0.511482638
1,1.045172945,2.144751931,0.75,0,1,0,1,0,0,0,0,1,0,0,1.720443391
0.333333333,0.805840642,0.979811293,0.75,1,1,0,1,0,0,0,0,1,0,1,0.526732262
0,0.561264569,0.8948216,1,0,1,0,0,0,0,0,1,0,1,0,0.532697619
0.333333333,1.146414492,1.296424781,0.75,0,1,0,1,0,0,0,0,0,1,0,1.535479133
0,0.476207567,0.644095354,0.75,1,1,0,0,0,0,0,0,0,0,0,0.976677665
0,0.92818882,0.69178967,0.375,1,1,0,1,0,0,0,0,1,0,1,0.666128586
0.333333333,2.530059953,1.588523039,0.75,1,1,0,1,0,0,0,0,1,0,0,2.366674447
0,0.786515771,0.932133561,0.75,1,0,0,1,0,0,0,0,1,0,1,0.504489719
0,2.665227969,1.002823958,0.75,1,1,0,1,0,1,0,0,1,0,1,2.614254715
0.333333333,0.530487105,0.635920365,0.625,0,1,0,1,0,1,0,0,0,0,0,0.202891886
0,0.57099407,0.567996957,0.75,1,1,0,1,0,0,0,0,0,0,1,0.65396166
0,0.169109844,1.244199273,0.75,1,0,1,1,0,1,0,0,0,0,1,0.856515578
0,1.423226022,1.329785531,0.375,1,1,0,1,0,0,0,0,0,0,1,1.210633949
0,0.966074404,0.476041566,0.75,1,1,0,0,0,0,0,1,0,0,1,0.708831111
0,1.62261887,1.226166551,0.75,1,1,0,0,0,0,0,0,1,0,0,1.423555587
0,1.105619954,1.20780267,0.75,1,1,0,1,0,0,0,1,0,1,0,0.864456036
0,0.822241796,0.714810062,0.75,1,1,0,0,0,0,0,0,1,0,1,0.545559326
0,0.871182214,1.002823958,0.75,1,1,0,0,0,0,0,0,0,0,1,0.601473642
0.333333333,0.705250164,1.253095139,0.75,1,1,0,1,0,0,0,0,1,0,0,0.82279986
0,1.337482988,1.325675795,0.75,1,1,0,0,0,0,0,0,0,0,1,1.429495167
0,0.474289633,1.002823958,0.75,1,0,0,0,0,0,0,1,0,1,1,0.614614451
0,0.753346287,0.962197452,0.75,1,0,0,1,0,0,0,0,1,0,1,0.889131525
0,1.552567375,0.766548923,0.75,1,1,0,0,0,1,0,0,0,1,0,1.349075383
0.333333333,0.612156437,0.815742049,0.75,1,1,0,1,0,0,0,1,1,0,1,0.739880122
0.666666667,0.971019079,1.235223559,0.75,0,1,0,0,0,0,0,0,1,0,1,0.71438945
1,0.842224417,0.962197452,0.375,1,1,0,1,0,0,0,1,0,1,0,0.568436616
0.333333333,0.766810079,1.084691554,0.75,1,1,0,1,0,0,0,1,0,1,1,0.663522858
0.666666667,0.831089354,1.025318932,0.75,1,1,0,1,0,0,0,1,1,0,1,0.555696708
0,0.90183195,1.002823958,0.75,1,0,0,0,0,0,0,1,1,0,1,0.636296926
0,0.725198693,0.744702069,0.75,1,0,0,0,0,0,0,0,0,1,1,0.433471729
0,0.839711315,0.541287157,0.75,1,1,0,0,0,0,0,1,0,0,1,0.922140237
0,0.589413447,0.576744006,0.75,1,1,0,0,0,0,0,0,0,1,1,0.273560443
0,0.753668969,1.041864187,0.75,1,1,0,0,0,0,0,0,1,0,0,0.46653201
0,1.47723652,1.431108377,0.75,1,0,0,0,0,0,0,0,1,0,0,1.268598229
1,0.755602879,1.047318994,0.75,0,1,0,1,0,0,0,0,1,0,0,0.678300493
0.333333333,1.287108213,1.523102839,0.75,1,1,0,1,0,1,0,0,0,1,1,1.063468401
1,1.067460845,1.058140147,0.75,1,1,0,1,0,1,0,1,0,0,1,0.822145246
0,0.713344575,1.095117818,0.75,1,1,0,1,0,0,0,0,0,1,1,0.884466417
1,0.821036078,0.882068359,0.75,1,1,0,1,0,0,0,1,1,0,1,0.701174549
0,0.004633635,1.084691554,0.75,1,1,0,1,0,0,0,0,0,0,0,0.145827808
0,0.802312787,1.063507126,0.75,1,1,0,1,0,0,0,0,1,0,1,0.795468478
0.666666667,0.980964205,0.683996917,0.75,0,1,0,1,0,0,1,0,1,0,0,0.725558549
0.666666667,0.884291456,1.041864187,0.75,1,0,0,1,0,0,0,0,1,0,1,0.940923235
0,0.539120743,0.585415208,0.75,0,1,0,1,0,0,0,0,0,1,0,0.21329833
0.666666667,0.84473122,0.979811293,0.75,1,1,0,1,0,0,0,0,1,0,1,0.825152928
0,0.678829228,1.13077676,0.75,1,1,0,0,0,0,0,0,1,0,1,0.829842517
0,1.267133449,1.274994624,0.75,1,1,0,1,0,0,0,0,1,0,1,1.142659235
0,1.129941555,1.047318994,0.75,1,1,0,1,0,0,0,0,1,0,1,0.89133374
0,0.72619404,1.253095139,0.75,1,1,0,1,0,0,0,0,0,0,0,0.434630121
0,0.946313649,1.100290466,0.75,1,1,0,1,0,1,0,1,0,1,0,0.686583558
0.666666667,1.129941555,1.416172974,0.75,1,1,0,1,0,0,0,0,1,0,1,1.079593516
0,0.949369094,1.1984927,1,1,1,0,0,1,0,0,0,1,0,1,0.690027143
0,1.146414492,1.377828393,0.75,1,1,0,0,0,1,0,0,0,0,1,0.90949934
0.333333333,0.591692196,0.907414243,0.75,1,1,0,1,0,0,0,0,1,0,1,0.657673621
0,0.800621143,0.416514944,0.375,1,1,0,1,0,0,1,0,0,0,1,0.520731107
0,0.716028217,1.002823958,0.75,1,1,0,0,0,0,0,1,0,0,1,0.833086285
0,1.337482988,1.649924967,0.75,1,0,0,0,0,0,0,0,1,0,1,1.118122477
0.333333333,0.710316844,1.110556179,0.75,1,1,0,1,0,0,0,0,1,0,1,0.715992694
0.333333333,1.043242687,1.253095139,0.75,1,1,0,1,0,0,0,0,0,0,1,0.951795934
0,1.072516378,1.572564829,0.75,1,1,0,1,0,0,1,0,0,1,0,0.82776097
0,0.760901925,1.014134697,0.75,1,0,0,0,0,1,0,0,0,1,1,0.474907124
0.333333333,0.815288979,0.956256546,0.75,1,0,0,0,0,0,0,0,0,0,1,0.537583685
0.333333333,0.736913935,0.856063318,0.75,1,1,0,1,0,0,0,0,1,0,1,0.447094108
0.666666667,1.081040932,1.002823958,0.75,1,1,0,1,0,0,0,0,0,0,1,1.334980873
0.333333333,0.595289629,1.110556179,0.375,1,1,0,1,0,0,0,1,0,1,0,0.649613552
0,0.677785577,1.184363182,0.125,1,1,0,0,0,0,0,0,0,1,1,1.150045917
0.666666667,1.129941555,0.932133561,0.75,1,1,0,1,0,1,0,0,0,0,1,1.038782457
0,0.751731313,1.01974245,0.75,1,1,0,1,0,0,0,1,1,0,1,1.067165418
0,1.107546835,1.002823958,0.375,1,1,0,0,0,1,0,0,0,1,0,1.30019085
0.666666667,1.453724744,0.956256546,0.75,1,1,0,1,0,0,0,0,0,1,1,1.243393427
0.333333333,1.168817031,1.095117818,0.375,1,1,0,1,0,0,0,1,0,1,1,0.934155092
0.333333333,0.663235531,1.01974245,1,1,1,0,1,0,0,0,0,1,0,1,0.68508264
0,0.453163832,0.815742049,0.75,1,1,0,1,0,0,0,0,0,1,1,0.513802786
0,0.421963505,1.381729695,0.75,0,1,0,1,0,0,0,1,1,0,0,0.802972607
0.666666667,0.755119752,1.100290466,0.75,1,0,0,0,0,0,0,0,0,1,0,0.468212654
0,0.608992202,0.907414243,0.75,1,1,0,0,0,1,0,1,0,0,1,0.688830719
0.333333333,0.623428743,1.646942783,0.375,1,1,0,1,0,0,0,1,1,0,1,1.248451263
0,1.875344771,1.346057628,0.75,0,1,0,0,0,1,0,0,0,1,0,1.689789388
1,0.698113406,1.572564829,0.75,1,0,0,0,0,0,0,0,0,0,1,0.401876268
0,1.106980491,0.973974417,0.75,0,1,0,0,0,0,0,1,0,0,0,0.865961382
1,1.012588194,0.842802723,0.75,1,1,0,1,0,0,0,0,0,1,0,0.760985098
0,1.789417397,1.718952578,0.75,1,1,0,1,0,0,0,0,0,0,0,1.718681708
1,0.972056956,1.047318994,0.75,1,1,0,1,0,0,0,1,1,0,0,0.7155557
0.333333333,1.111276686,1.788718675,0.75,1,1,0,1,0,0,0,0,0,1,1,1.296122692
0,0.506404554,1.079437371,0.75,1,1,0,0,0,0,0,0,1,0,1,0.614130822
0.333333333,0.763780522,1.184363182,0.075,1,0,0,0,0,0,0,0,1,0,0,0.478237628
0,1.22996121,1.002823958,0.75,1,0,0,0,0,0,0,0,0,0,1,1.001174316
0,1.002073705,1.047318994,0.75,1,1,0,0,0,1,0,0,1,0,1,0.749221233
0,0.857317274,1.165207801,0.75,1,1,0,0,0,0,0,0,0,0,1,1.03793845
0.666666667,0.942714869,1.160361069,0.75,1,1,0,1,0,0,0,0,1,0,1,0.872209377
1,0.891344617,1.20780267,0.75,0,1,0,1,0,0,0,0,0,1,1,0.878294771
0,0.753668969,1.084691554,0.75,1,0,0,0,0,0,1,0,0,0,0,0.46653201
0.333333333,0.66217547,0.815742049,0.75,1,0,0,0,0,0,0,0,0,1,1,0.640703195
0,0.724036201,0.285645116,0.75,1,0,0,0,0,0,0,0,0,1,1,0.432118573
0,1.563105907,1.089918274,0.75,1,1,0,1,0,0,0,0,0,1,1,1.360301441
0,0.654545299,1.036379462,0.75,1,1,0,0,0,0,0,0,0,0,1,0.679811617
0,0.615866294,1.160361069,0.75,1,1,0,1,0,0,0,0,1,0,1,0.702651524
0.666666667,0.828548076,0.815742049,0.75,1,1,0,1,0,0,0,0,1,0,1,0.552786292
0.333333333,0.639650586,0.973974417,0.75,1,1,0,1,0,0,0,0,1,0,1,0.664903207
0,0.84237205,1.404823188,0.75,1,1,0,1,0,0,0,0,1,0,1,1.008483897
0,0.701518215,0.744702069,0.75,1,1,0,1,0,0,0,0,0,1,1,0.635508045
0,1.783674892,2.031457738,0.75,1,1,0,1,0,0,0,0,1,0,1,1.593629642
0,0.858044171,1.025318932,0.75,1,0,0,1,0,0,0,1,0,0,1,0.58650156
0.333333333,0.851190385,1.1984927,0.75,0,1,0,0,0,1,0,1,0,1,0,0.918935522
0,0.832581213,0.956256546,0.75,1,1,0,1,0,0,0,0,1,0,1,0.685383004
0.666666667,0.554987638,0.729867752,0.375,1,1,0,1,0,0,0,0,0,1,1,0.441705721
0,0.453599462,0.532222966,0.75,1,0,0,0,0,0,0,0,0,1,1,0.477498474
0,2.084060251,1.058140147,0.75,1,1,0,1,0,0,0,0,0,0,0,1.907256583
0,0.710822103,0.808860893,0.75,1,1,0,0,0,0,0,0,0,0,1,0.886556129
0,0.612156437,0.875630223,0.625,1,0,0,0,0,1,0,0,1,0,0,0.621840969
0,0.798772443,1.002823958,0.75,1,1,0,1,0,0,0,0,0,0,1,0.822276203
0,0.861525943,0.973974417,0.75,1,0,0,0,0,0,0,0,1,0,1,0.590472056
0,1.437981537,1.325675795,0.75,1,1,0,0,0,0,0,0,0,0,1,1.226492484
0,0.69674823,1.105436496,0.75,1,1,0,1,0,0,0,0,0,0,1,0.793987812
